GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,BLK_DAY_RANK
3/5/2019,PHI,Philadelphia 76ers,PHI vs. ORL,Amir Johnson,C-F,30,6195,1,7056,2,8551,2,812,5,6509,2,6102,5,7038,1,4317,1,8514,6
3/5/2019,POR,Portland Trail Blazers,POR @ MEM,Jusuf Nurkic,C,38.5,3041,0,12874,9,525,2,812,3,11548,0,13385,10,1582,1,4317,2,4097,7
3/5/2019,CHI,Chicago Bulls,CHI @ IND,Otto Porter Jr.,F,29.8,6292,1,7056,2,8551,2,812,3,11548,0,13385,4,9339,4,121,3,1827,8
3/5/2019,CHI,Chicago Bulls,CHI @ IND,Wayne Selden,G,18.3,12997,0,12874,1,12618,2,812,2,14769,2,6102,4,9339,0,11467,0,15731,9
3/5/2019,MEM,Memphis Grizzlies,MEM vs. POR,CJ Miles,F-G,23.9,9428,2,3543,1,12618,2,812,3,11548,4,2601,2,15352,1,4317,1,8514,10
3/4/2019,PHX,Phoenix Suns,PHX vs. MIL,Kelly Oubre Jr.,F,54.1,639,1,7056,1,12618,3,272,7,3260,12,89,13,591,1,4317,2,4097,1
3/4/2019,PHX,Phoenix Suns,PHX vs. MIL,Deandre Ayton,C,45.4,1629,0,12874,2,8551,3,272,8,2174,3,4174,12,814,0,11467,0,15731,2
3/4/2019,SAS,San Antonio Spurs,SAS vs. DEN,Derrick White,G,41.3,2339,1,7056,9,525,3,272,4,8828,2,6102,4,9339,1,4317,0,15731,3
3/4/2019,NOP,New Orleans Pelicans,NOP @ UTA,Anthony Davis,F-C,49.7,1029,1,7056,3,5849,3,272,7,3260,0,13385,11,1140,3,415,1,8514,4
3/4/2019,NYK,New York Knicks,NYK @ SAC,Mitchell Robinson,C,16.4,14248,0,12874,0,18130,2,812,2,14769,0,13385,7,3913,0,11467,2,4097,5
3/4/2019,MIL,Milwaukee Bucks,MIL @ PHX,Nikola Mirotic,F,29.4,6486,3,1597,0,18130,2,812,3,11548,4,2601,7,3913,1,4317,1,8514,6
3/4/2019,MIA,Miami Heat,MIA vs. ATL,Dwyane Wade,G,34.9,4162,1,7056,5,2659,2,812,10,888,2,6102,2,15352,0,11467,4,786,7
3/4/2019,LAL,Los Angeles Lakers,LAL vs. LAC,JaVale McGee,C,15.6,14808,0,12874,0,18130,2,812,3,11548,1,10110,3,12137,0,11467,1,8514,8
3/4/2019,UTA,Utah Jazz,UTA vs. NOP,Derrick Favors,F-C,25.3,8597,0,12874,1,12618,2,812,6,4636,4,2601,4,9339,0,11467,3,1827,9
3/4/2019,DAL,Dallas Mavericks,DAL @ BKN,Luka Doncic,F-G,31.7,5421,3,1597,1,12618,2,812,6,4636,1,10110,6,5192,1,4317,2,4097,10
3/31/2019,WAS,Washington Wizards,WAS @ DEN,Thomas Bryant,C,49.3,1075,0,12874,3,5849,3,272,9,1419,2,6102,14,434,0,11467,1,8514,1
3/31/2019,ATL,Atlanta Hawks,ATL vs. MIL,John Collins,F-C,52.4,762,3,1597,4,3929,3,272,9,1419,2,6102,12,814,0,11467,0,15731,2
3/31/2019,GSW,Golden State Warriors,GSW vs. CHA,DeMarcus Cousins,C,25.6,8438,0,12874,2,8551,3,272,3,11548,2,6102,3,12137,1,4317,1,8514,3
3/31/2019,LAC,LA Clippers,LAC vs. MEM,Shai Gilgeous-Alexander,G,31.3,5609,0,12874,3,5849,2,812,2,14769,2,6102,4,9339,4,121,2,4097,4
3/31/2019,LAL,Los Angeles Lakers,LAL @ NOP,Mike Muscala,F-C,29.1,6612,2,3543,3,5849,2,812,4,8828,0,13385,3,12137,2,1393,1,8514,5
3/31/2019,CHA,Charlotte Hornets,CHA @ GSW,Jeremy Lamb,G,32.1,5249,1,7056,5,2659,2,812,3,11548,4,2601,3,12137,2,1393,2,4097,6
3/31/2019,LAL,Los Angeles Lakers,LAL @ NOP,Moritz Wagner,C,19.9,11947,1,7056,1,12618,2,812,2,14769,2,6102,7,3913,0,11467,3,1827,7
3/31/2019,GSW,Golden State Warriors,GSW vs. CHA,Jordan Bell,F,19.6,12151,0,12874,4,3929,2,812,2,14769,0,13385,3,12137,0,11467,0,15731,8
3/31/2019,DEN,Denver Nuggets,DEN vs. WAS,Will Barton,G,25.8,8329,2,3543,4,3929,2,812,4,8828,0,13385,4,9339,0,11467,1,8514,9
3/31/2019,MEM,Memphis Grizzlies,MEM @ LAC,Bruno Caboclo,F,18.4,12911,2,3543,2,8551,2,812,3,11548,0,13385,2,15352,0,11467,1,8514,10
3/30/2019,NYK,New York Knicks,NYK vs. MIA,Mitchell Robinson,C,45.8,1562,0,12874,0,18130,4,98,4,8828,1,10110,14,434,3,415,1,8514,1
3/30/2019,POR,Portland Trail Blazers,POR @ DET,Maurice Harkless,F,35,4125,0,12874,2,8551,3,272,5,6509,0,13385,10,1582,1,4317,2,4097,2
3/30/2019,NYK,New York Knicks,NYK vs. MIA,Luke Kornet,F-C,48.1,1213,5,280,3,5849,3,272,5,6509,2,6102,8,2894,3,415,1,8514,3
3/30/2019,DET,Detroit Pistons,DET vs. POR,Andre Drummond,C,68.8,109,0,12874,4,3929,3,272,9,1419,4,2601,19,70,4,121,3,1827,4
3/30/2019,PHI,Philadelphia 76ers,PHI @ MIN,Jonah Bolden,F,44.1,1840,5,280,3,5849,3,272,7,3260,0,13385,8,2894,1,4317,1,8514,5
3/30/2019,MEM,Memphis Grizzlies,MEM @ PHX,Jonas Valanciunas,C,74.5,58,0,12874,5,2659,2,812,16,39,2,6102,20,48,2,1393,3,1827,6
3/30/2019,SAC,Sacramento Kings,SAC @ HOU,De'Aaron Fox,G,47.4,1326,4,662,10,325,2,812,6,4636,2,6102,7,3913,1,4317,3,1827,7
3/30/2019,CHI,Chicago Bulls,CHI vs. TOR,Timothe Luwawu-Cabarrot,G,35.5,3937,4,662,1,12618,2,812,6,4636,2,6102,10,1582,0,11467,2,4097,8
3/30/2019,DET,Detroit Pistons,DET vs. POR,Bruce Brown,G,12.2,17085,1,7056,0,18130,2,812,2,14769,0,13385,1,18809,0,11467,0,15731,9
3/30/2019,MEM,Memphis Grizzlies,MEM @ PHX,Delon Wright,G,39.1,2887,1,7056,3,5849,2,812,3,11548,4,2601,3,12137,5,25,1,8514,10
3/3/2019,NYK,New York Knicks,NYK @ LAC,Mitchell Robinson,C,43.1,1991,0,12874,1,12618,4,98,7,3260,2,6102,13,591,0,11467,2,4097,1
3/3/2019,MEM,Memphis Grizzlies,MEM @ OKC,Jonas Valanciunas,C,39.1,2887,0,12874,1,12618,3,272,6,4636,4,2601,13,591,0,11467,3,1827,2
3/3/2019,CHA,Charlotte Hornets,CHA vs. POR,Marvin Williams,F,23.9,9428,1,7056,1,12618,3,272,2,14769,1,10110,2,15352,2,1393,1,8514,3
3/3/2019,NYK,New York Knicks,NYK @ LAC,Luke Kornet,F-C,27.6,7365,1,7056,2,8551,3,272,1,18112,3,4174,3,12137,2,1393,0,15731,4
3/3/2019,WAS,Washington Wizards,WAS vs. MIN,Jabari Parker,F,38.7,2981,1,7056,1,12618,2,812,9,1419,3,4174,6,5192,1,4317,1,8514,5
3/3/2019,ORL,Orlando Magic,ORL @ CLE,Nikola Vucevic,C,61.6,259,0,12874,6,1803,2,812,13,186,2,6102,13,591,2,1393,3,1827,6
