GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,DAY_RANK
3/28/2019,NYK,New York Knicks,NYK vs. TOR,Mitchell Robinson,C,53.2,704,0,12874,0,18130,2,812,8,2174,3,4174,21,32,1,4317,0,15731,8
3/28/2019,TOR,Toronto Raptors,TOR @ NYK,Pascal Siakam,F,50.5,944,2,3543,5,2659,1,2443,11,549,7,723,5,7038,1,4317,0,15731,9
3/28/2019,NOP,New Orleans Pelicans,NOP vs. SAC,Julius Randle,C-F,48.7,1140,3,1597,3,5849,0,7843,12,318,7,723,11,1140,0,11467,3,1827,10
3/27/2019,PHX,Phoenix Suns,PHX vs. WAS,Devin Booker,G,69,105,3,1597,4,3929,1,2443,19,7,9,316,10,1582,1,4317,5,338,1
3/27/2019,GSW,Golden State Warriors,GSW @ MEM,Stephen Curry,G,55.5,544,6,113,7,1184,1,2443,7,3260,8,447,10,1582,1,4317,1,8514,2
3/27/2019,OKC,Oklahoma City Thunder,OKC vs. IND,Russell Westbrook,G,55.2,562,2,3543,12,111,1,2443,6,4636,3,4174,11,1140,2,1393,2,4097,3
3/27/2019,OKC,Oklahoma City Thunder,OKC vs. IND,Steven Adams,C,52.9,728,0,12874,3,5849,1,2443,11,549,3,4174,12,814,2,1393,0,15731,4
3/27/2019,GSW,Golden State Warriors,GSW @ MEM,DeMarcus Cousins,C,50.8,910,1,7056,6,1803,3,272,7,3260,1,10110,9,2204,3,415,3,1827,5
3/27/2019,GSW,Golden State Warriors,GSW @ MEM,Kevin Durant,F,50.3,963,1,7056,5,2659,0,7843,12,318,3,4174,9,2204,2,1393,2,4097,6
3/27/2019,WAS,Washington Wizards,WAS @ PHX,Thomas Bryant,C,50.3,963,2,3543,3,5849,1,2443,7,3260,2,6102,19,70,1,4317,1,8514,7
3/27/2019,UTA,Utah Jazz,UTA vs. LAL,Rudy Gobert,C,50.2,976,0,12874,0,18130,3,272,9,1419,4,2601,11,1140,2,1393,0,15731,8
3/27/2019,WAS,Washington Wizards,WAS @ PHX,Jabari Parker,F,49.5,1057,2,3543,3,5849,0,7843,9,1419,8,447,15,299,0,11467,1,8514,9
3/27/2019,MEM,Memphis Grizzlies,MEM vs. GSW,Jonas Valanciunas,C,48.6,1153,0,12874,2,8551,2,812,12,318,3,4174,13,591,0,11467,3,1827,10
3/26/2019,CHA,Charlotte Hornets,CHA vs. SAS,Kemba Walker,G,66.3,138,2,3543,11,183,1,2443,14,108,8,447,9,2204,0,11467,2,4097,1
3/26/2019,NOP,New Orleans Pelicans,NOP vs. ATL,Christian Wood,F,60.3,312,1,7056,1,12618,6,10,7,3260,8,447,9,2204,3,415,2,4097,2
3/26/2019,LAL,Los Angeles Lakers,LAL vs. WAS,JaVale McGee,C,57,453,0,12874,2,8551,4,98,9,1419,2,6102,15,299,2,1393,2,4097,3
3/26/2019,DAL,Dallas Mavericks,DAL vs. SAC,Luka Doncic,F-G,56.4,485,0,12874,12,111,0,7843,9,1419,10,204,12,814,0,11467,4,786,4
3/26/2019,DET,Detroit Pistons,DET @ DEN,Blake Griffin,F,55.5,544,2,3543,5,2659,0,7843,12,318,3,4174,15,299,1,4317,2,4097,5
3/26/2019,ORL,Orlando Magic,ORL @ MIA,Nikola Vucevic,C,54.7,592,2,3543,5,2659,1,2443,10,888,2,6102,16,207,1,4317,2,4097,6
3/26/2019,ATL,Atlanta Hawks,ATL @ NOP,Trae Young,G,54.2,629,5,280,12,111,0,7843,12,318,4,2601,1,18809,1,4317,1,8514,7
3/26/2019,LAL,Los Angeles Lakers,LAL vs. WAS,LeBron James,F,52.4,762,1,7056,14,43,0,7843,11,549,0,13385,7,3913,1,4317,3,1827,8
3/26/2019,DAL,Dallas Mavericks,DAL vs. SAC,Dwight Powell,F-C,52.1,783,0,12874,3,5849,4,98,6,4636,9,316,13,591,0,11467,1,8514,9
3/26/2019,DET,Detroit Pistons,DET @ DEN,Andre Drummond,C,48.9,1121,0,12874,3,5849,2,812,5,6509,3,4174,17,151,2,1393,1,8514,10
3/25/2019,POR,Portland Trail Blazers,POR vs. BKN,Jusuf Nurkic,C,75.7,45,0,12874,5,2659,4,98,13,186,6,1093,16,207,2,1393,1,8514,1
3/25/2019,PHX,Phoenix Suns,PHX @ UTA,Devin Booker,G,66.8,131,5,280,4,3929,0,7843,19,7,16,19,4,9339,1,4317,6,130,2
3/25/2019,POR,Portland Trail Blazers,POR vs. BKN,Damian Lillard,G,59.2,354,4,662,12,111,0,7843,10,888,7,723,6,5192,1,4317,0,15731,3
3/25/2019,BKN,Brooklyn Nets,BKN @ POR,D'Angelo Russell,G,58.8,376,3,1597,8,789,0,7843,16,39,4,2601,9,2204,1,4317,6,130,4
3/25/2019,MEM,Memphis Grizzlies,MEM vs. OKC,Delon Wright,G,50.1,986,0,12874,13,71,0,7843,8,2174,2,6102,3,12137,4,121,3,1827,5
3/25/2019,OKC,Oklahoma City Thunder,OKC @ MEM,Paul George,F,49.9,1004,5,280,3,5849,0,7843,10,888,5,1672,12,814,1,4317,2,4097,6
3/25/2019,ORL,Orlando Magic,ORL vs. PHI,Nikola Vucevic,C,47.2,1353,2,3543,4,3929,0,7843,11,549,4,2601,11,1140,0,11467,0,15731,7
3/25/2019,MEM,Memphis Grizzlies,MEM vs. OKC,Bruno Caboclo,F,45.2,1663,4,662,2,8551,1,2443,8,2174,4,2601,11,1140,1,4317,1,8514,8
3/25/2019,UTA,Utah Jazz,UTA vs. PHX,Rudy Gobert,C,44,1856,0,12874,0,18130,2,812,9,1419,9,316,10,1582,0,11467,1,8514,9
3/25/2019,MEM,Memphis Grizzlies,MEM vs. OKC,Jonas Valanciunas,C,41.3,2339,0,12874,1,12618,2,812,6,4636,6,1093,14,434,0,11467,1,8514,10
3/24/2019,SAS,San Antonio Spurs,SAS @ BOS,LaMarcus Aldridge,C-F,72.6,65,1,7056,6,1803,1,2443,20,2,7,723,13,591,0,11467,3,1827,1
3/24/2019,LAL,Los Angeles Lakers,LAL vs. SAC,LeBron James,F,63.7,193,3,1597,11,183,1,2443,9,1419,8,447,11,1140,2,1393,4,786,2
3/24/2019,DEN,Denver Nuggets,DEN @ IND,Nikola Jokic,C,58.2,401,1,7056,8,789,4,98,8,2174,2,6102,11,1140,1,4317,1,8514,3
