GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,FG_DAY_RANK
11/21/2018,NYK,New York Knicks,NYK @ BOS,Trey Burke,G,55.7,529,4,662,11,183,0,7843,11,549,3,4174,6,5192,2,1393,3,1827,10
11/20/2018,POR,Portland Trail Blazers,POR @ NYK,CJ McCollum,G,40.8,2462,5,280,2,8551,1,2443,13,186,0,13385,4,9339,0,11467,1,8514,1
11/20/2018,LAC,LA Clippers,LAC @ WAS,Tobias Harris,F,39.3,2830,4,662,1,12618,0,7843,12,318,1,10110,9,2204,0,11467,2,4097,2
11/20/2018,ORL,Orlando Magic,ORL vs. TOR,Evan Fournier,G,37.6,3293,4,662,4,3929,0,7843,11,549,1,10110,3,12137,1,4317,2,4097,3
11/20/2018,NYK,New York Knicks,NYK vs. POR,Tim Hardaway Jr.,G,45,1693,3,1597,4,3929,0,7843,10,888,9,316,5,7038,1,4317,2,4097,4
11/20/2018,BKN,Brooklyn Nets,BKN @ MIA,D'Angelo Russell,G,51.8,809,2,3543,6,1803,1,2443,9,1419,0,13385,9,2204,4,121,3,1827,5
11/20/2018,LAC,LA Clippers,LAC @ WAS,Montrezl Harrell,F-C,35.8,3841,0,12874,2,8551,1,2443,9,1419,2,6102,9,2204,0,11467,1,8514,6
11/20/2018,MIA,Miami Heat,MIA vs. BKN,Hassan Whiteside,C,54.6,598,0,12874,0,18130,2,812,9,1419,3,4174,23,12,1,4317,3,1827,7
11/20/2018,WAS,Washington Wizards,WAS vs. LAC,John Wall,G,57.8,420,5,280,8,789,2,812,9,1419,7,723,4,9339,2,1393,1,8514,8
11/20/2018,POR,Portland Trail Blazers,POR @ NYK,Damian Lillard,G,50.2,976,3,1597,8,789,0,7843,9,1419,8,447,6,5192,2,1393,4,786,9
11/20/2018,NYK,New York Knicks,NYK vs. POR,Trey Burke,G,25.1,8705,3,1597,3,5849,0,7843,8,2174,0,13385,3,12137,0,11467,2,4097,10
11/2/2018,HOU,Houston Rockets,HOU @ BKN,Chris Paul,G,66.9,129,5,280,11,183,2,812,13,186,1,10110,7,3913,2,1393,2,4097,1
11/2/2018,GSW,Golden State Warriors,GSW vs. MIN,Kevin Durant,F,52.1,783,3,1597,3,5849,1,2443,11,549,8,447,13,591,0,11467,4,786,2
11/2/2018,GSW,Golden State Warriors,GSW vs. MIN,Stephen Curry,G,51.3,863,4,662,7,1184,2,812,11,549,2,6102,9,2204,0,11467,4,786,3
11/2/2018,BKN,Brooklyn Nets,BKN vs. HOU,Caris LeVert,G,47.8,1257,4,662,2,8551,1,2443,10,888,5,1672,4,9339,3,415,1,8514,4
11/2/2018,OKC,Oklahoma City Thunder,OKC @ WAS,Russell Westbrook,G,55.6,538,0,12874,12,111,0,7843,10,888,3,4174,3,12137,4,121,1,8514,5
11/2/2018,ORL,Orlando Magic,ORL vs. LAC,Nikola Vucevic,C,47.7,1274,1,7056,3,5849,3,272,10,888,1,10110,11,1140,0,11467,1,8514,6
11/2/2018,MIN,Minnesota Timberwolves,MIN @ GSW,Jimmy Butler,G,32.1,5249,0,12874,5,2659,0,7843,10,888,1,10110,3,12137,0,11467,0,15731,7
11/2/2018,WAS,Washington Wizards,WAS vs. OKC,Bradley Beal,G,33.4,4730,4,662,4,3929,0,7843,10,888,3,4174,2,15352,1,4317,5,338,8
11/2/2018,HOU,Houston Rockets,HOU @ BKN,Carmelo Anthony,N,34.8,4198,6,113,0,18130,1,2443,9,1419,4,2601,4,9339,0,11467,1,8514,9
11/2/2018,GSW,Golden State Warriors,GSW vs. MIN,Klay Thompson,G,26.3,8058,4,662,1,12618,0,7843,9,1419,0,13385,4,9339,0,11467,2,4097,10
11/19/2018,CHA,Charlotte Hornets,CHA vs. BOS,Kemba Walker,G,54.3,622,7,46,5,2659,0,7843,14,108,8,447,4,9339,1,4317,4,786,1
11/19/2018,NOP,New Orleans Pelicans,NOP vs. SAS,Anthony Davis,F-C,55.8,519,0,12874,4,3929,2,812,13,186,3,4174,9,2204,2,1393,2,4097,2
11/19/2018,MIL,Milwaukee Bucks,MIL vs. DEN,Giannis Antetokounmpo,F,54.4,611,0,12874,6,1803,0,7843,13,186,3,4174,12,814,2,1393,4,786,3
11/19/2018,PHX,Phoenix Suns,PHX @ PHI,Devin Booker,G,50.6,930,6,113,8,789,0,7843,13,186,5,1672,3,12137,0,11467,2,4097,4
11/19/2018,BOS,Boston Celtics,BOS @ CHA,Kyrie Irving,G,53.5,681,1,7056,11,183,0,7843,12,318,2,6102,5,7038,2,1393,2,4097,5
11/19/2018,OKC,Oklahoma City Thunder,OKC @ SAC,Russell Westbrook,G,60.1,321,4,662,7,1184,0,7843,12,318,1,10110,13,591,3,415,4,786,6
11/19/2018,PHI,Philadelphia 76ers,PHI vs. PHX,Joel Embiid,F-C,60.9,291,0,12874,1,12618,1,2443,12,318,9,316,17,151,3,415,6,130,7
11/19/2018,NOP,New Orleans Pelicans,NOP vs. SAS,E'Twaun Moore,G,35.6,3908,2,3543,4,3929,0,7843,11,549,0,13385,3,12137,1,4317,1,8514,8
11/19/2018,UTA,Utah Jazz,UTA @ IND,Ricky Rubio,G,49.8,1013,5,280,6,1803,1,2443,10,888,3,4174,4,9339,3,415,4,786,9
