GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,AST_DAY_RANK
3/30/2019,IND,Indiana Pacers,IND vs. ORL,Darren Collison,G,43.1,1991,2,3543,9,525,0,7843,10,888,2,6102,3,12137,1,4317,1,8514,8
3/30/2019,PHX,Phoenix Suns,PHX vs. MEM,Jamal Crawford,G,23.4,9721,1,7056,8,789,0,7843,2,14769,3,4174,2,15352,1,4317,2,4097,9
3/30/2019,LAC,LA Clippers,LAC vs. CLE,Shai Gilgeous-Alexander,G,38.4,3074,3,1597,8,789,0,7843,9,1419,1,10110,2,15352,1,4317,1,8514,10
3/3/2019,HOU,Houston Rockets,HOU @ BOS,Chris Paul,G,47.2,1353,3,1597,12,111,1,2443,4,8828,4,2601,6,5192,3,415,5,338,1
3/3/2019,CHA,Charlotte Hornets,CHA vs. POR,Kemba Walker,G,32,5287,2,3543,12,111,0,7843,5,6509,6,1093,0,22086,0,11467,4,786,2
3/3/2019,MIN,Minnesota Timberwolves,MIN @ WAS,Jeff Teague,G,21.2,11106,0,12874,8,789,0,7843,4,8828,2,6102,1,18809,0,11467,2,4097,3
3/3/2019,WAS,Washington Wizards,WAS vs. MIN,Bradley Beal,G,53.4,689,2,3543,8,789,1,2443,7,3260,6,1093,7,3913,3,415,1,8514,4
3/3/2019,DET,Detroit Pistons,DET vs. TOR,Ish Smith,G,25.4,8548,0,12874,8,789,0,7843,4,8828,1,10110,2,15352,1,4317,1,8514,5
3/3/2019,ATL,Atlanta Hawks,ATL @ CHI,DeAndre' Bembry,F,24.3,9159,0,12874,7,1184,1,2443,1,18112,1,10110,4,9339,2,1393,3,1827,6
3/3/2019,MIN,Minnesota Timberwolves,MIN @ WAS,Karl-Anthony Towns,C,52.5,758,2,3543,7,1184,1,2443,12,318,2,6102,10,1582,1,4317,4,786,7
3/3/2019,MEM,Memphis Grizzlies,MEM @ OKC,Avery Bradley,G,46.5,1455,2,3543,7,1184,0,7843,11,549,3,4174,5,7038,2,1393,3,1827,8
3/3/2019,BOS,Boston Celtics,BOS vs. HOU,Kyrie Irving,G,39.8,2702,3,1597,6,1803,0,7843,7,3260,7,723,9,2204,0,11467,4,786,9
3/3/2019,OKC,Oklahoma City Thunder,OKC vs. MEM,Dennis Schroder,G,46.4,1473,1,7056,6,1803,1,2443,6,4636,4,2601,12,814,2,1393,3,1827,10
3/29/2019,LAL,Los Angeles Lakers,LAL vs. CHA,Rajon Rondo,G,56.7,467,1,7056,17,4,0,7843,3,11548,0,13385,6,5192,6,3,1,8514,1
3/29/2019,UTA,Utah Jazz,UTA vs. WAS,Joe Ingles,F,38,3183,3,1597,10,325,0,7843,7,3260,1,10110,5,7038,0,11467,1,8514,2
3/29/2019,WAS,Washington Wizards,WAS @ UTA,Tomas Satoransky,G,25.9,8278,1,7056,9,525,0,7843,3,11548,0,13385,2,15352,1,4317,0,15731,3
3/29/2019,DEN,Denver Nuggets,DEN @ OKC,Jamal Murray,G,49.5,1057,3,1597,9,525,0,7843,11,549,2,6102,5,7038,1,4317,0,15731,4
3/29/2019,LAL,Los Angeles Lakers,LAL vs. CHA,LeBron James,F,38.1,3148,4,662,9,525,0,7843,11,549,1,10110,3,12137,0,11467,6,130,5
3/29/2019,OKC,Oklahoma City Thunder,OKC vs. DEN,Russell Westbrook,G,54.3,622,1,7056,9,525,0,7843,11,549,4,2601,9,2204,2,1393,3,1827,6
