GAME_DATE,TEAM_ABBREVIATION,TEAM_NAME,MATCHUP,PLAYER_NAME,PLAYER_POSITION,NBA_FANTASY_PTS,NBA_FANTASY_PTS_RANK,FG3M,FG3M_RANK,AST,AST_RANK,BLK,BLK_RANK,FGM,FGM_RANK,FTM,FTM_RANK,REB,REB_RANK,STL,STL_RANK,TOV,TOV_RANK,STL_DAY_RANK
3/23/2019,CHA,Charlotte Hornets,CHA vs. BOS,Miles Bridges,F,40.9,2437,3,1597,3,5849,0,7843,8,2174,1,10110,7,3913,3,415,1,8514,2
3/23/2019,UTA,Utah Jazz,UTA @ CHI,Thabo Sefolosha,F,12.7,16772,0,12874,1,12618,0,7843,1,18112,0,13385,1,18809,3,415,1,8514,3
3/23/2019,DAL,Dallas Mavericks,DAL @ GSW,Luka Doncic,F-G,57.2,441,4,662,10,325,0,7843,6,4636,7,723,11,1140,3,415,3,1827,4
3/23/2019,PHX,Phoenix Suns,PHX @ SAC,Mikal Bridges,F,29.8,6292,1,7056,4,3929,0,7843,5,6509,0,13385,4,9339,3,415,1,8514,5
3/23/2019,MIA,Miami Heat,MIA @ WAS,Josh Richardson,G,35.9,3812,2,3543,5,2659,1,2443,6,4636,4,2601,2,15352,2,1393,1,8514,6
3/23/2019,DET,Detroit Pistons,DET @ POR,Ish Smith,G,22.6,10204,1,7056,4,3929,0,7843,4,8828,0,13385,3,12137,2,1393,2,4097,7
3/23/2019,ATL,Atlanta Hawks,ATL vs. PHI,Dewayne Dedmon,C,34.1,4478,2,3543,1,12618,0,7843,7,3260,1,10110,8,2894,2,1393,0,15731,8
3/23/2019,PHI,Philadelphia 76ers,PHI @ ATL,Jimmy Butler,G,46.2,1501,0,12874,4,3929,1,2443,6,4636,13,62,6,5192,2,1393,1,8514,9
3/23/2019,UTA,Utah Jazz,UTA @ CHI,Kyle Korver,G,18.6,12782,1,7056,4,3929,0,7843,2,14769,0,13385,3,12137,2,1393,2,4097,10
3/22/2019,OKC,Oklahoma City Thunder,OKC @ TOR,Russell Westbrook,G,63.9,188,2,3543,13,71,1,2443,6,4636,4,2601,12,814,4,121,3,1827,1
3/22/2019,BKN,Brooklyn Nets,BKN @ LAL,D'Angelo Russell,G,48.9,1121,4,662,13,71,0,7843,8,2174,1,10110,2,15352,4,121,6,130,2
3/22/2019,HOU,Houston Rockets,HOU vs. SAS,James Harden,G,76.9,41,9,12,1,12618,0,7843,19,7,14,42,7,3913,3,415,3,1827,3
3/22/2019,CLE,Cleveland Cavaliers,CLE vs. LAC,Larry Nance Jr.,F,35.3,4011,1,7056,1,12618,0,7843,6,4636,1,10110,9,2204,3,415,0,15731,4
3/22/2019,SAS,San Antonio Spurs,SAS @ HOU,Derrick White,G,37.1,3437,1,7056,3,5849,0,7843,5,6509,7,723,8,2894,2,1393,1,8514,5
3/22/2019,DEN,Denver Nuggets,DEN @ NYK,Gary Harris,G,24,9362,4,662,0,18130,0,7843,5,6509,0,13385,5,7038,2,1393,2,4097,6
3/22/2019,BKN,Brooklyn Nets,BKN @ LAL,Spencer Dinwiddie,G,30.6,5947,2,3543,0,18130,1,2443,4,8828,9,316,3,12137,2,1393,1,8514,7
3/22/2019,MEM,Memphis Grizzlies,MEM @ ORL,Ivan Rabb,F,15.4,14944,0,12874,2,8551,0,7843,2,14769,0,13385,2,15352,2,1393,0,15731,8
3/22/2019,TOR,Toronto Raptors,TOR vs. OKC,Marc Gasol,C,27,7652,0,12874,6,1803,2,812,1,18112,0,13385,5,7038,2,1393,2,4097,9
3/22/2019,OKC,Oklahoma City Thunder,OKC @ TOR,Steven Adams,C,30.5,5992,0,12874,1,12618,3,272,4,8828,1,10110,5,7038,2,1393,1,8514,10
3/21/2019,DET,Detroit Pistons,DET @ PHX,Andre Drummond,C,51.3,863,0,12874,1,12618,1,2443,7,3260,2,6102,19,70,3,415,1,8514,1
3/21/2019,IND,Indiana Pacers,IND @ GSW,Cory Joseph,G,19.9,11947,0,12874,3,5849,1,2443,1,18112,0,13385,2,15352,3,415,1,8514,2
3/21/2019,WAS,Washington Wizards,WAS vs. DEN,Bradley Beal,G,46.4,1473,2,3543,8,789,0,7843,10,888,3,4174,2,15352,3,415,2,4097,3
3/21/2019,ATL,Atlanta Hawks,ATL vs. UTA,Taurean Prince,F,27.6,7365,3,1597,2,8551,0,7843,5,6509,0,13385,3,12137,3,415,1,8514,4
3/21/2019,PHX,Phoenix Suns,PHX vs. DET,Devin Booker,G,39,2909,2,3543,2,8551,0,7843,8,2174,8,447,5,7038,3,415,5,338,5
3/21/2019,DEN,Denver Nuggets,DEN @ WAS,Paul Millsap,F,34.2,4437,2,3543,2,8551,1,2443,6,4636,1,10110,6,5192,3,415,3,1827,6
3/21/2019,UTA,Utah Jazz,UTA @ ATL,Joe Ingles,F,28.9,6714,3,1597,7,1184,0,7843,5,6509,0,13385,2,15352,2,1393,3,1827,7
